bool apache_child_terminate ();このリクエストの後にApacheプロセスを終了する
int dio_seek ( resource fd , int pos , int whence );fd上でwhenceからposに移動する
array dio_stat ( resource fd );ファイル記述子fdに関するstat情報を取得する
dio_tcsetattr ( resource fd , array options );シリアルポートの端末属性とボーレートを設定する
bool dio_truncate ( resource fd , int offset );ファイル記述子fdをオフセットバイトへ丸める
int dio_write ( resource fd , string data , [ int len ] );オプションで丸め長さを指定してデータを書き込む
bool chdir ( string directory );ディレクトリを変更します
bool chroot ( string directory );ルートディレクトリを変更する
string read ();ディレクトリ・クラス
void closedir ( resource dir_handle );ディレクトリ・ハンドルをクローズします
string getcwd ();カレントのワーキングディレクトリを取得する
resource opendir ( string path );ディレクトリ・ハンドルのオープン
string readdir ( resource dir_handle );ディレクトリ・ハンドルからのエントリ読み込み
void rewinddir ( resource dir_handle );ディレクトリ・ハンドルを元に戻します
array scandir ( string directory , [ int sorting_order ] );指定されたパスのファイルとディレクトリのリストを取得する
bool DomAttribute->name ();属性の名前を返す
bool DomAttribute->specified ();属性が指定されているかどうか調べる
bool DomAttribute->value ();属性の値を返す
resource DomDocument->add_root ( string name );ルートノードを追加する
object DomDocument->create_attribute ( string name , string value );新規属性を作成する
string DomDocument->create_cdata_section ( string content );新規cdataノードを作成する
object DomDocument->create_comment ( string content );新規コメントノードを作成する
object DomDocument->create_element ( string name );新規エレメントノードを作成する
object DomDocument->create_entity_reference ( string content );
string DomDocument->create_processing_instruction ( string content );新規PIノードを作成する
object DomDocument->create_text_node ( string content );新規テキストノードを作成する
object DomDocument->doctype ();ドキュメント型を返す
object DomDocument->document_element ();ルートエレメントノードを返す
string DomDocument->dump_file ( string filename , [ bool compressionmode ] , [ bool format ] );内部XMLツリーをファイルにダンプする
string DomDocument->dump_mem ( [ bool format ] );内部XMLツリーを文字列にダンプする
object DomDocument->get_element_by_id ( string id );
array DomDocument->get_elements_by_tagname ( string name );
string DomDocument->html_dump_mem ();HTMLとして文字列に内部XMLツリーをダンプする
array DomDocumentType->entities ();エントリのリスト返す
bool DomDocumentType->internal_subset ();内部サブセットを返す
string DomDocumentType->name ();ドキュメントの型名を返す
array DomDocumentType->notations ();ノーテーションのリストを返す
string DomDocumentType->public_id ();document typeのpublic IDを返す
string DomDocumentType->system_id ();document typeのsystem IDを返す
object DomElement->get_attribute_node ( object attr );属性の値を返す
object DomElement->get_attribute ( string name );属性の値を返す
bool DomElement->get_elements_by_tagname ( string name );タグ名により要素を取得する
bool DomElement->has_attribute ( string name );属性があるかどうかを調べる
bool DomElement->remove_attribute ( string name );属性を削除する
bool DomElement->set_attribute_node ( object attr );新規属性を設定する
bool DomElement->set_attribute ( string name , string value );新規属性を追加する
string DomElement->tagname ();要素名を返す
object DomNode->append_child ( object newnode );子ノードの最後に新規に子ノードを追加する
object DomNode->append_sibling ( object newnode );新規に兄弟をノードに追加する
array DomNode->attributes ();属性のリストを返す
array DomNode->child_nodes ();子ノードを返す
object DomNode->clone_node ();ノードの複製を作る
string DomNode->dump_node ();ノードを１つダンプする
bool DomNode->first_child ();最初の子ノードを返す
string DomNode->get_content ();ノードのコンテンツを取得する
bool DomNode->has_attributes ();ノードが属性を有しているかを調べる
bool DomNode->has_child_nodes ();ノードが子ノードを有しているかを調べる
object DomNode->insert_before ( object newnode , object refnode );新規ノードを子ノードとして挿入する
bool DomNode->is_blank_node ();ノードが空かどうか調べる
object DomNode->last_child ();最後の子ノードを返す
object DomNode->next_sibling ();次の兄弟ノードを返す
string DomNode->node_name ();ノード名を返す
int DomNode->node_type ();ノードの型を返す
string DomNode->node_value ();ノードの値を返す
object DomNode->owner_document ();このノードが属するドキュメントを返す
object DomNode->parent_node ();親ノードを返す
string DomNode->prefix ();ノードの名前空間接頭辞を返す
object DomNode->previous_sibling ();前の兄弟ノードを返す
object DomNode->remove_child ( object oldchild );子ノードのリストから子ノードを削除する
object DomNode->replace_node ();ノードを置換する
bool DomNode->set_content ();ノードのコンテンツを設定する
bool DomNode->set_name ();ノードの名前を設定する
